ts,pool,name,tier,price,vol_1h,baseline,multiple,buyer_base,buyer_mult,turnover,chg_1h,liquidity,mcap,buyers,sellers,age_days,fired
2026-08-19T02:37:49+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0014207434658166105,91524.3537090846,29931.477013074797,3.1,,,0.9147,-22.362,124269.7202,1389676.25969669,121,201,1.3,0
2026-08-19T03:04:09+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,934.0955999697313,73365.3528252983,19437.320365413918,3.8,,,0.4204,-0.015,3981520.4205,6145309.61610804,7,14,57.5,0
2026-08-19T03:04:09+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0016293378496076427,58809.6402181784,7333.34070622648,8.0,152,,0.9694,0.582,145526.9074,1629337.85,115,155,9.2,0
2026-08-19T04:01:03+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0015404955672856057,21576.6992588306,7333.34070622648,2.9,150.0,,0.9875,-7.873,142000.6362,1540495.567,97,86,9.2,0
2026-08-19T04:53:42+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,923.2269094166209,54777.4982136473,19437.320365413918,2.8,,,0.3883,-0.589,3960774.0829,6073805.72659969,4,13,57.6,0
2026-08-19T05:36:46+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,926.6824705085775,112357.89879871,19437.320365413918,5.8,,,0.3926,0.0,3964452.7858,6096534.07411831,14,18,57.6,0
2026-08-19T05:36:46+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014306290078948086,16802.1686844304,7333.34070622648,2.3,144.5,,1.0198,-6.597,138048.539,1432495.757,87,52,9.3,0
2026-08-19T05:36:46+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0017612484575028173,138936.453585838,29931.477013074797,4.6,,,0.7401,59.439,125829.4879,1722743.85578444,171,179,1.4,0
2026-08-19T06:04:49+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,921.421365758985,78017.5141784124,19437.320365413918,4.0,,,0.3936,-0.918,3944806.2288,6061930.38763085,12,15,57.7,0
2026-08-19T06:04:49+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.001985117478156033,143774.270648884,29931.477013074797,4.8,,,0.668,102.221,121784.7366,1941707.39324302,182,228,1.5,0
2026-08-19T06:04:49+00:00,CD5HDt23sjGud5VTWsv51BMPey2Qf9qH5cyswWmjBDdq,BULLSHIT / SOL,A,0.001943376764047931,939710.851761415,293182.13371419936,3.2,,,2.6898,101.521,138727.3985,1873059.19540526,1446,1319,1.5,0
2026-08-19T07:07:54+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,941.9226501443779,166530.849191371,19437.320365413918,8.6,,,0.3955,2.036,4000000.0798,6215727.54585312,19,6,57.7,0
2026-08-19T07:07:54+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0016096177985451823,15666.9853819716,7333.34070622648,2.1,140.0,,0.8798,10.962,145982.9412,1615800.116,52,87,9.4,0
2026-08-19T07:55:51+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,960.7929055277014,192143.257010494,19437.320365413918,9.9,,,0.4024,1.999,4058862.2647,6340146.24566831,20,10,57.7,0
2026-08-19T08:48:35+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,957.1661229374013,233740.373339145,19437.320365413918,12.0,,,0.4113,0.425,4055182.4467,6321105.55734701,20,14,57.8,0
2026-08-19T08:48:35+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0015904105405735252,15291.302378952,7333.34070622648,2.1,136.0,,0.8879,-4.02,144381.0956,1590410.541,48,45,9.4,0
2026-08-19T09:40:19+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,947.4109830978972,87179.9457930409,19437.320365413918,4.5,,,0.4177,-0.994,4027983.5763,6281311.16203424,7,10,57.8,0
2026-08-19T10:11:02+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,930.7219330532726,181936.23816906,19437.320365413918,9.4,,,0.4416,-2.542,3963051.9147,6170664.19913311,3,18,57.8,0
2026-08-19T10:48:27+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,935.9782130371345,160896.54264584,19437.320365413918,8.3,,,0.4433,-0.397,3997811.8711,6210191.01166186,14,14,57.9,0
2026-08-19T11:31:30+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,936.0914935039168,154976.84530034,19437.320365413918,8.0,,,0.456,0.395,3996587.0465,6210937.70996018,17,9,57.9,0
